평균 강수일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,8,7,8.3,8.3,8.2,9.9,16.4,14.8,9.1,6.1,8.5,9.3,113.9
최근 10년,7.5,7.3,6.7,8.7,8.0,9.9,15.8,13.6,8.6,6.6,8.8,8.2,109.7
최근  5년,7.4,7.8,6.2,6.6,9.6,10.8,18.0,16.4,8.8,6.0,8.2,6.4,112.2
1969,11.0,11.0,6.0,12.0,11.0,9.0,18.0,18.0,14.0,4.0,11.0,13.0,138.0,2
1970,3.0,7.0,4.0,6.0,8.0,11.0,19.0,16.0,16.0,6.0,8.0,6.0,110.0,41
1971,11.0,13.0,9.0,7.0,6.0,11.0,18.0,14.0,6.0,3.0,7.0,8.0,113.0,37
1972,13.0,12.0,9.0,8.0,11.0,8.0,11.0,13.0,12.0,7.0,16.0,9.0,129.0,13
1973,13.0,7.0,4.0,9.0,10.0,9.0,12.0,14.0,13.0,10.0,14.0,15.0,130.0,11
1974,3.0,11.0,13.0,9.0,9.0,12.0,24.0,11.0,7.0,11.0,8.0,12.0,130.0,10
1975,11.0,10.0,8.0,9.0,11.0,11.0,16.0,14.0,12.0,8.0,8.0,8.0,126.0,15
1976,11.0,14.0,7.0,11.0,8.0,13.0,14.0,18.0,5.0,11.0,9.0,10.0,131.0,8
1977,5.0,1.0,11.0,13.0,7.0,6.0,11.0,9.0,7.0,3.0,13.0,8.0,94.0,53
1978,13.0,5.0,5.0,9.0,4.0,15.0,19.0,15.0,8.0,5.0,8.0,7.0,113.0,36
1979,9.0,10.0,7.0,9.0,9.0,19.0,15.0,14.0,10.0,5.0,9.0,6.0,122.0,17
1980,14.0,9.0,6.0,10.0,11.0,13.0,22.0,17.0,5.0,9.0,6.0,14.0,136.0,5
1981,7.0,10.0,8.0,8.0,5.0,13.0,18.0,16.0,4.0,9.0,5.0,6.0,109.0,43
1982,5.0,4.0,8.0,5.0,9.0,4.0,11.0,16.0,5.0,4.0,14.0,12.0,97.0,51
1983,9.0,11.0,13.0,13.0,7.0,9.0,15.0,14.0,16.0,8.0,11.0,8.0,134.0,6
1984,6.0,5.0,12.0,12.0,3.0,14.0,16.0,16.0,12.0,5.0,6.0,13.0,120.0,20
1985,9.0,14.0,9.0,11.0,8.0,10.0,16.0,13.0,15.0,8.0,16.0,12.0,141.0,1
1986,9.0,8.0,6.0,7.0,10.0,11.0,15.0,14.0,6.0,12.0,5.0,11.0,114.0,33
1987,7.0,8.0,10.0,8.0,11.0,7.0,18.0,19.0,6.0,7.0,12.0,6.0,119.0,23
1988,9.0,2.0,8.0,8.0,7.0,8.0,16.0,9.0,4.0,4.0,8.0,9.0,92.0,54
1989,12.0,10.0,8.0,4.0,7.0,9.0,16.0,9.0,11.0,5.0,9.0,9.0,109.0,42
1990,10.0,12.0,12.0,11.0,14.0,16.0,14.0,9.0,10.0,4.0,8.0,9.0,129.0,12
1991,10.0,12.0,13.0,5.0,9.0,10.0,22.0,11.0,8.0,5.0,4.0,10.0,119.0,22
1992,9.0,7.0,12.0,11.0,11.0,7.0,12.0,12.0,10.0,11.0,7.0,12.0,121.0,19
1993,7.0,9.0,7.0,8.0,10.0,10.0,18.0,16.0,6.0,8.0,13.0,10.0,122.0,16
1994,8.0,5.0,8.0,5.0,10.0,7.0,7.0,14.0,5.0,7.0,6.0,9.0,91.0,55
1995,8.0,4.0,11.0,7.0,6.0,7.0,16.0,15.0,8.0,5.0,9.0,8.0,104.0,46
1996,8.0,6.0,11.0,5.0,5.0,15.0,15.0,8.0,5.0,7.0,16.0,10.0,111.0,39
1997,7.0,6.0,5.0,7.0,14.0,7.0,14.0,13.0,4.0,4.0,9.0,8.0,98.0,50
1998,13.0,10.0,4.0,11.0,8.0,13.0,19.0,20.0,5.0,5.0,7.0,2.0,117.0,28
1999,6.0,9.0,9.0,8.0,8.0,8.0,14.0,18.0,14.0,10.0,5.0,8.0,117.0,27
2000,11.0,5.0,6.0,5.0,10.0,15.0,14.0,19.0,13.0,5.0,8.0,8.0,119.0,21
2001,11.0,6.0,6.0,5.0,4.0,12.0,17.0,11.0,4.0,9.0,6.0,9.0,100.0,48
2002,11.0,3.0,8.0,7.0,9.0,7.0,11.0,19.0,10.0,10.0,9.0,9.0,113.0,35
2003,10.0,7.0,13.0,12.0,7.0,10.0,26.0,20.0,12.0,4.0,10.0,5.0,136.0,4
2004,8.0,9.0,5.0,8.0,15.0,10.0,15.0,15.0,14.0,3.0,8.0,8.0,118.0,26
2005,9.0,7.0,8.0,7.0,6.0,10.0,15.0,17.0,13.0,6.0,6.0,14.0,118.0,25
2006,4.0,8.0,6.0,10.0,9.0,10.0,24.0,17.0,7.0,3.0,10.0,7.0,115.0,31
2007,6.0,4.0,15.0,7.0,10.0,12.0,16.0,20.0,18.0,7.0,5.0,11.0,131.0,7
2008,7.0,4.0,7.0,9.0,6.0,11.0,16.0,14.0,7.0,4.0,6.0,7.0,98.0,49
2009,9.0,6.0,9.0,5.0,10.0,10.0,19.0,10.0,6.0,5.0,7.0,14.0,110.0,40
2010,7.0,11.0,14.0,10.0,9.0,7.0,21.0,19.0,15.0,5.0,7.0,12.0,137.0,3
2011,4.0,5.0,3.0,12.0,8.0,11.0,23.0,17.0,8.0,7.0,9.0,6.0,113.0,34
2012,9.0,7.0,12.0,11.0,3.0,7.0,15.0,18.0,15.0,4.0,13.0,14.0,128.0,14
2013,9.0,7.0,8.0,10.0,8.0,11.0,17.0,12.0,8.0,4.0,13.0,9.0,116.0,30
2014,5.0,5.0,10.0,6.0,7.0,11.0,17.0,16.0,5.0,7.0,7.0,16.0,112.0,38
2015,10.0,4.0,5.0,15.0,4.0,10.0,14.0,7.0,4.0,7.0,16.0,12.0,108.0,44
2016,10.0,9.0,3.0,11.0,8.0,10.0,14.0,10.0,11.0,11.0,11.0,10.0,118.0,24
2017,7.0,10.0,9.0,8.0,6.0,8.0,21.0,16.0,6.0,5.0,8.0,10.0,114.0,32
2018,7.0,6.0,11.0,9.0,9.0,9.0,7.0,8.0,8.0,9.0,5.0,7.0,95.0,52
2019,4.0,5.0,8.0,11.0,5.0,8.0,12.0,13.0,13.0,4.0,7.0,11.0,101.0,47
2020,6.0,13.0,4.0,4.0,11.0,14.0,21.0,20.0,11.0,3.0,7.0,2.0,116.0,29
2021,10.0,8.0,7.0,8.0,17.0,13.0,12.0,20.0,11.0,8.0,8.0,8.0,130.0,9
2022,4.0,1.0,9.0,6.0,3.0,11.0,13.0,18.0,5.0,5.0,7.0,7.0,89.0,56
2023,7.0,4.0,2.0,8.0,8.0,10.0,22.0,12.0,11.0,2.0,9.0,10.0,105.0,45
2024,10.0,13.0,9.0,7.0,9.0,6.0,22.0,12.0,6.0,12.0,10.0,5.0,121.0,18
2025,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,57


평균 계절별 강수일수
연도,봄(3~5월),여름(6~8월),가을(9~11월),겨울(12~익년2월)
평년,24.8,41.1,23.7,24.1
최근 10년,23.4,39.3,24.0,21.6
최근  5년,22.4,45.2,23.0,17.8
1969,29.0,45.0,29.0,23.0
1970,18.0,46.0,30.0,30.0
1971,22.0,43.0,16.0,33.0
1972,28.0,32.0,35.0,29.0
1973,23.0,35.0,37.0,29.0
1974,31.0,47.0,26.0,33.0
1975,28.0,41.0,28.0,33.0
1976,26.0,45.0,25.0,16.0
1977,31.0,26.0,23.0,26.0
1978,18.0,49.0,21.0,26.0
1979,25.0,48.0,24.0,29.0
1980,27.0,52.0,20.0,31.0
1981,21.0,47.0,18.0,15.0
1982,22.0,31.0,23.0,32.0
1983,33.0,38.0,35.0,19.0
1984,27.0,46.0,23.0,36.0
1985,28.0,39.0,39.0,29.0
1986,23.0,40.0,23.0,26.0
1987,29.0,44.0,25.0,17.0
1988,23.0,33.0,16.0,31.0
1989,19.0,34.0,25.0,31.0
1990,37.0,39.0,22.0,31.0
1991,27.0,43.0,17.0,26.0
1992,34.0,31.0,28.0,28.0
1993,25.0,44.0,27.0,23.0
1994,23.0,28.0,18.0,21.0
1995,24.0,38.0,22.0,22.0
1996,21.0,38.0,28.0,23.0
1997,26.0,34.0,17.0,31.0
1998,23.0,52.0,17.0,17.0
1999,25.0,40.0,29.0,24.0
2000,21.0,48.0,26.0,25.0
2001,15.0,40.0,19.0,23.0
2002,24.0,37.0,29.0,26.0
2003,32.0,56.0,26.0,22.0
2004,28.0,40.0,25.0,24.0
2005,21.0,42.0,25.0,26.0
2006,25.0,51.0,20.0,17.0
2007,32.0,48.0,30.0,22.0
2008,22.0,41.0,17.0,22.0
2009,24.0,39.0,18.0,32.0
2010,33.0,47.0,27.0,21.0
2011,23.0,51.0,24.0,22.0
2012,26.0,40.0,32.0,30.0
2013,26.0,40.0,25.0,19.0
2014,23.0,44.0,19.0,30.0
2015,24.0,31.0,27.0,31.0
2016,22.0,34.0,33.0,27.0
2017,23.0,45.0,19.0,23.0
2018,29.0,24.0,22.0,16.0
2019,24.0,33.0,24.0,30.0
2020,19.0,55.0,21.0,20.0
2021,32.0,45.0,27.0,13.0
2022,18.0,42.0,17.0,18.0
2023,18.0,44.0,22.0,33.0
2024,25.0,40.0,28.0,10.0


강수일수 관측값
연도,날짜,지점,관측값
1969,0101,대전,0.1
1969,0103,대전,0.1
1969,0104,대전,0.1
1969,0105,대전,3.9
1969,0123,대전,0.1
1969,0125,대전,9.1
1969,0126,대전,9
1969,0128,대전,20.1
1969,0129,대전,2
1969,0130,대전,0.4
1969,0131,대전,3.9
1969,0204,대전,1.3
1969,0207,대전,0.3
1969,0213,대전,4.5
1969,0214,대전,14.3
1969,0216,대전,1.2
1969,0217,대전,3.6
1969,0218,대전,5.9
1969,0219,대전,0.2
1969,0220,대전,0.6
1969,0227,대전,0.1
1969,0228,대전,0.7
1969,0304,대전,3
1969,0312,대전,3.5
1969,0313,대전,0.4
1969,0316,대전,3.8
1969,0319,대전,1.7
1969,0320,대전,5
1969,0403,대전,1.4
1969,0404,대전,12.9
1969,0406,대전,0.4
1969,0408,대전,6.4
1969,0414,대전,31.2
1969,0415,대전,1.6
1969,0416,대전,37
1969,0420,대전,0.4
1969,0421,대전,17.3
1969,0424,대전,57
1969,0425,대전,20
1969,0429,대전,4.7
1969,0504,대전,19.2
1969,0505,대전,40.8
1969,0510,대전,2
1969,0516,대전,1.2
1969,0517,대전,1.3
1969,0518,대전,23.6
1969,0524,대전,3.3
1969,0526,대전,7.6
1969,0527,대전,9.2
1969,0529,대전,1.6
1969,0530,대전,11.2
1969,0602,대전,23.5
1969,0605,대전,4.7
1969,0606,대전,0.6
1969,0611,대전,0.2
1969,0622,대전,3.4
1969,0625,대전,0.4
1969,0628,대전,9
1969,0629,대전,1.8
1969,0630,대전,10.5
1969,0705,대전,9
1969,0707,대전,5.5
1969,0708,대전,18.9
1969,0710,대전,1.9
1969,0711,대전,0.3
1969,0712,대전,17.6
1969,0713,대전,10.2
1969,0714,대전,0.4
1969,0715,대전,40.7
1969,0716,대전,142.6
1969,0717,대전,1
1969,0718,대전,12.4
1969,0719,대전,56.7
1969,0720,대전,2.7
1969,0721,대전,0.1
1969,0729,대전,3.7
1969,0730,대전,8.7
1969,0731,대전,137.6
1969,0801,대전,4
1969,0802,대전,88.2
1969,0803,대전,36.2
1969,0804,대전,25.1
1969,0805,대전,39.1
1969,0806,대전,26.7
1969,0807,대전,150.4
1969,0809,대전,8.3
1969,0810,대전,1.8
1969,0811,대전,1.4
1969,0813,대전,0.7
1969,0819,대전,6.4
1969,0820,대전,4.7
1969,0822,대전,0.7
1969,0825,대전,17.7
1969,0827,대전,1.2
1969,0830,대전,57.7
1969,0831,대전,7.1
1969,0901,대전,8.8
1969,0903,대전,17.5
1969,0904,대전,41.3
1969,0905,대전,30.3
1969,0907,대전,1.4
1969,0914,대전,17.8
1969,0915,대전,69.4
1969,0916,대전,1.4
1969,0920,대전,0.5
1969,0922,대전,2.6
1969,0923,대전,37.1
1969,0924,대전,75.1
1969,0929,대전,2
1969,0930,대전,26.4
1969,1008,대전,2.4
1969,1009,대전,0.3
1969,1016,대전,0.1
1969,1031,대전,0.9
1969,1107,대전,1.3
1969,1109,대전,1.8
1969,1110,대전,6.6
1969,1112,대전,1.7
1969,1114,대전,5
1969,1115,대전,8
1969,1120,대전,0.6
1969,1124,대전,0.1
1969,1126,대전,8.2
1969,1129,대전,7.6
1969,1130,대전,0.4
1969,1202,대전,1.5
1969,1203,대전,1.1
1969,1206,대전,2.5
1969,1207,대전,3.5
1969,1208,대전,0.5
1969,1209,대전,0.8
1969,1212,대전,2.8
1969,1214,대전,0.4
1969,1215,대전,0.6
1969,1218,대전,0.5
1969,1225,대전,2.3
1969,1228,대전,0.5
1969,1230,대전,1.8
1970,0105,대전,0.1
1970,0110,대전,0.5
1970,0112,대전,0.5
1970,0207,대전,0.4
1970,0208,대전,0.6
1970,0213,대전,0.4
1970,0220,대전,24.9
1970,0224,대전,42.2
1970,0225,대전,9.2
1970,0226,대전,3.5
1970,0309,대전,0.9
1970,0315,대전,8.2
1970,0316,대전,1.4
1970,0318,대전,0.1
1970,0406,대전,6.7
1970,0407,대전,3.9
1970,0416,대전,25.6
1970,0417,대전,27.2
1970,0418,대전,39.1
1970,0424,대전,0.4
1970,0501,대전,1
1970,0502,대전,33.9
1970,0510,대전,38.3
1970,0519,대전,4.4
1970,0520,대전,2.5
1970,0525,대전,12.4
1970,0526,대전,9.2
1970,0531,대전,18.8
1970,0604,대전,0.4
1970,0608,대전,0.3
1970,0609,대전,27.7
1970,0611,대전,3.3
1970,0614,대전,2.7
1970,0616,대전,2.5
1970,0617,대전,9.8
1970,0618,대전,11
1970,0619,대전,14.5
1970,0629,대전,45.7
1970,0630,대전,2.5
1970,0703,대전,5.1
1970,0704,대전,34.6
1970,0705,대전,8.7
1970,0706,대전,18.4
1970,0707,대전,0.2
1970,0708,대전,2.5
1970,0709,대전,36
1970,0711,대전,21.5
1970,0713,대전,8
1970,0715,대전,0.4
1970,0716,대전,53.4
1970,0717,대전,47.7
1970,0718,대전,17.9
1970,0719,대전,1.2
1970,0720,대전,2
1970,0722,대전,6.2
1970,0727,대전,3.6
1970,0728,대전,18.4
1970,0729,대전,11.9
1970,0803,대전,1.5
1970,0804,대전,4.6
1970,0805,대전,8.6
1970,0806,대전,67.9
1970,0807,대전,44
1970,0817,대전,2.5
1970,0818,대전,0.7
1970,0821,대전,4.7
1970,0822,대전,15.1
1970,0823,대전,85.2
1970,0824,대전,62.5
1970,0825,대전,0.4
1970,0826,대전,0.3
1970,0827,대전,0.3
1970,0830,대전,0.3
1970,0831,대전,1.6
1970,0901,대전,4.6
1970,0902,대전,65.8
1970,0903,대전,65.5
1970,0909,대전,97.2
1970,0910,대전,7.3
1970,0911,대전,3.7
1970,0912,대전,11.2
1970,0914,대전,6.6
1970,0915,대전,25.9
1970,0916,대전,12.9
1970,0917,대전,26.4
1970,0921,대전,12.8
1970,0927,대전,0.7
1970,0928,대전,13.7
1970,0929,대전,1.6
1970,0930,대전,0.1
1970,1012,대전,19.2
1970,1023,대전,6.4
1970,1024,대전,21.3
1970,1025,대전,38.3
1970,1028,대전,6
1970,1029,대전,1.2
1970,1101,대전,0.4
1970,1104,대전,3.6
1970,1105,대전,2.1
1970,1106,대전,1.6
1970,1110,대전,6.4
1970,1125,대전,4.8
1970,1126,대전,2.3
1970,1129,대전,0.1
1970,1202,대전,4.2
1970,1210,대전,2
1970,1212,대전,6.3
1970,1213,대전,2.4
1970,1217,대전,0.5
1970,1222,대전,1.5
1971,0103,대전,2.7
1971,0104,대전,0.4
1971,0108,대전,1.1
1971,0113,대전,0.9
1971,0120,대전,13.2
1971,0121,대전,17.2
1971,0122,대전,4.3
1971,0125,대전,1.9
1971,0127,대전,0.3
1971,0129,대전,0.1
1971,0131,대전,0.6
1971,0202,대전,1.2
1971,0206,대전,0.6
1971,0207,대전,0.3
1971,0208,대전,0.1
1971,0209,대전,2.9
1971,0212,대전,0.1
1971,0214,대전,8.7
1971,0215,대전,0.2
1971,0216,대전,3.7
1971,0217,대전,0.1
1971,0221,대전,16.8
1971,0222,대전,7.3
1971,0223,대전,7.1
1971,0302,대전,30.3
1971,0303,대전,3.6
1971,0312,대전,0.1
